separation,seed,split,model,anchor_coverage,n,rmse_keV,mae_keV,bias_keV
neutron_rich,12,val,LSMF,0.0,578,2203.8535071334777,1668.8901758445666,6.005847762409537
neutron_rich,12,test,LSMF,0.0,532,3901.997570322184,3202.9147687505406,-825.8873839365623
neutron_rich,12,val,LSMF+Transformer,0.0,578,497.0415257880531,277.39118798172643,-1.2947521587113149
neutron_rich,12,test,LSMF+Transformer,0.0,532,1207.4112088360034,872.6097171749748,-492.0360189036133
neutron_rich,12,val,LSMF+anchor,1.0,578,471.3964078492261,315.9095153931864,-15.672507759054188
neutron_rich,12,test,LSMF+anchor,0.9605263157894737,532,1724.1268476793166,1075.381076177196,-625.8066945807886
neutron_rich,12,val,LSMF+anchor+Transformer,1.0,578,297.1946272189487,177.76132928702754,16.201700197101506
neutron_rich,12,test,LSMF+anchor+Transformer,0.9605263157894737,532,1716.5193556008903,1050.1847256875765,-643.2201532238917
neutron_rich,17,val,LSMF,0.0,578,2192.7091410046255,1631.547376716252,110.98150065721633
neutron_rich,17,test,LSMF,0.0,532,3875.1622954876943,3171.460345257281,-810.1647848331481
neutron_rich,17,val,LSMF+Transformer,0.0,578,385.9807239695406,219.5476919907105,-26.55082431028349
neutron_rich,17,test,LSMF+Transformer,0.0,532,1435.5604891844414,1003.9499582144514,-590.6629595793819
neutron_rich,17,val,LSMF+anchor,1.0,578,432.5566476314754,287.18294517811694,3.8902595334191914
neutron_rich,17,test,LSMF+anchor,0.9605263157894737,532,1713.9718674489525,1073.1789011413653,-631.9130455714904
neutron_rich,17,val,LSMF+anchor+Transformer,1.0,578,295.09643792932525,177.02596287956982,23.90659011546702
neutron_rich,17,test,LSMF+anchor+Transformer,0.9605263157894737,532,1722.000519437311,1044.8093866690976,-554.5246070598787
neutron_rich,33,val,LSMF,0.0,578,2177.7771387267676,1694.9349076343533,-105.94651981950436
neutron_rich,33,test,LSMF,0.0,532,3901.440004391114,3207.2360053359694,-908.8234826408664
neutron_rich,33,val,LSMF+Transformer,0.0,578,473.794256198245,294.2412554608561,-29.466733854941165
neutron_rich,33,test,LSMF+Transformer,0.0,532,1462.4570572351886,1046.1188800775635,-610.6874799240408
neutron_rich,33,val,LSMF+anchor,1.0,578,434.2303511443544,284.9293148189114,42.5686570974795
neutron_rich,33,test,LSMF+anchor,0.9605263157894737,532,1739.5718154081524,1085.613848243242,-655.969683301588
neutron_rich,33,val,LSMF+anchor+Transformer,1.0,578,267.86478168303864,167.6915693761825,29.987094960370722
neutron_rich,33,test,LSMF+anchor+Transformer,0.9605263157894737,532,1784.8037026871054,1111.0400645995553,-689.7850926885527
neutron_rich,42,val,LSMF,0.0,578,2027.646542404233,1595.7464064818398,-261.96113346924477
neutron_rich,42,test,LSMF,0.0,532,4008.84294154433,3309.6952439701113,-1238.1330660805982
neutron_rich,42,val,LSMF+Transformer,0.0,578,444.77943314287404,260.3300825941216,46.66151645119571
neutron_rich,42,test,LSMF+Transformer,0.0,532,1441.972517430055,1037.2090864894494,-665.1370376017175
neutron_rich,42,val,LSMF+anchor,1.0,578,416.22266000812147,266.5183583229341,26.72630155056571
neutron_rich,42,test,LSMF+anchor,0.9605263157894737,532,1843.5751035322448,1137.4471910230936,-753.959762474443
neutron_rich,42,val,LSMF+anchor+Transformer,1.0,578,251.13093595489497,156.38669233004148,8.714758019246867
neutron_rich,42,test,LSMF+anchor+Transformer,0.9605263157894737,532,1810.7489129777898,1086.0427744726317,-684.0668079600041
neutron_rich,89,val,LSMF,0.0,578,2328.184788647238,1753.9941274663072,0.10208082987484451
neutron_rich,89,test,LSMF,0.0,532,3950.0897236495334,3255.794013297169,-1108.4303020815632
neutron_rich,89,val,LSMF+Transformer,0.0,578,439.8972205471915,267.9507171035239,59.147928925993114
neutron_rich,89,test,LSMF+Transformer,0.0,532,1291.1869429565875,925.4673821094493,-555.4570914241136
neutron_rich,89,val,LSMF+anchor,1.0,578,502.2466222866234,312.0150445982513,22.562217339812733
neutron_rich,89,test,LSMF+anchor,0.9605263157894737,532,1791.0736776757549,1107.9222368732155,-690.6797569290883
neutron_rich,89,val,LSMF+anchor+Transformer,1.0,578,317.88056497287295,184.11087281916457,-5.959712888654898
neutron_rich,89,test,LSMF+anchor+Transformer,0.9605263157894737,532,1866.4550159657226,1159.1528559947872,-669.2895257051573
