train_losses,val_losses,train_rmse_keV,val_rmse_keV,train_mae_keV,val_mae_keV
0.606151688237523,0.546594553087887,2152.7310815657015,1878.4102091082518,1611.9308862854525,1439.322090996775
0.4660410931290582,0.4675372642906089,1746.226538693864,1565.3388214511951,1317.209276202281,1177.3515137757038
0.42000142571537996,0.3355841758219819,1598.8254277233507,1316.8726341920164,1183.8490916727108,955.7661550810798
0.3825020585642305,0.2939268329033726,1523.9943874802107,1187.9445095882122,1111.613780469059,857.8301808684323
0.3153126063041909,0.33707136621600703,1320.8021957975723,1236.631059938089,957.3985026392216,910.1399653495918
0.30791118013304336,0.29160862416028976,1313.9974025129304,1243.2707092200376,935.150957284604,903.447465690715
0.30280522655609043,0.26515620946884155,1272.0234399772444,1145.1311432939906,925.2769097835893,790.7995106216039
0.2706027166094891,0.30414850460855586,1145.8142935312342,1259.6544799063831,830.2037559604128,940.1777766452581
0.2537441205146701,0.2565870720304941,1082.114177265143,1025.0075861216976,780.6189893764196,749.782881879545
0.25259954361028447,0.25616707613593653,1113.1351789462808,1047.455504795209,802.847466988968,783.4205622388012
0.24553109220294064,0.2799264176895744,1057.1101190719075,1137.1102973488778,755.4652940666549,785.6182568696817
0.24110034212123516,0.1908783473466572,1085.8688463493136,922.0056529658801,773.8976606670792,666.2886253858466
0.22143593447846036,0.1889163910558349,1019.2369085035206,899.8857049867754,717.4817515007303,639.1276725891557
0.2151361109558926,0.19651802550805242,1012.4651220809563,938.2796333227362,704.0883303798471,680.094502550956
0.21126998354529225,0.16327364507474398,997.685940238144,838.7928947180827,700.1169243681354,587.9037815966174
0.21608459360377733,0.17279227293635668,1007.2586627698382,858.6166667357917,720.4285510194757,573.5763939541533
0.20269716525623618,0.18383083374876724,983.8536387501985,874.9562788288782,685.9834911358747,609.0897225740309
0.1927136950368105,0.19594868899960266,934.980045187208,844.164524191082,660.8213942132069,637.3374363770242
0.19857089706631595,0.2505507490744716,946.4501343391514,1054.6037025691276,668.6049317125306,767.391125400826
0.19349436219348465,0.1687288041177549,958.9261071776307,822.4393478157415,664.6823460102308,571.6467407493952
0.20950205260237983,0.19613221307334147,972.884720558539,932.9058061237413,672.8638998642331,649.919548312282
0.17237111401939115,0.1655545932681937,882.1975394674032,859.665355080466,609.6063669087632,572.4854728694023
0.2101724863398907,0.1379334492314803,999.0044952663105,781.8879347778061,699.7627528710601,516.0600739260917
0.18378720449846844,0.17231799642506399,889.9763304773852,834.2583602506282,632.4890787436168,572.7025892012664
