N,Z,A,Mass Excess (keV)
36,33,69,-63112.181
37,33,70,-64333.973
38,33,71,-67893.257
39,33,72,-68229.808
40,33,73,-70952.757
41,33,74,-70860.064
45,33,78,-72816.97
46,33,79,-73636.081
47,33,80,-72214.601
48,33,81,-72533.314
49,33,82,-70105.427
33,34,67,-46580.294
34,34,68,-54189.449
35,34,69,-56434.714
36,34,70,-61929.9
37,34,71,-63146.515
39,34,73,-68227.396
40,34,74,-72213.21
41,34,75,-72169.489
43,34,77,-74599.497
44,34,78,-77025.952
45,34,79,-75917.466
46,34,80,-77759.487
47,34,81,-76389.019
48,34,82,-77593.895
50,34,84,-75947.731
51,34,85,-72413.645
34,35,69,-46259.478
35,35,70,-51425.627
37,35,72,-59061.75
42,35,77,-73234.818
43,35,78,-73452.168
44,35,79,-76068.067
46,35,81,-77977.051
48,35,83,-79013.721
49,35,84,-77783.094
53,35,88,-70715.967
36,36,72,-53940.582
37,36,73,-56551.758
40,36,76,-69013.706
41,36,77,-70169.451
42,36,78,-74178.283
43,36,79,-74442.29
46,36,82,-80591.79509
47,36,83,-79990.643
48,36,84,-82439.34527
49,36,85,-81480.341
50,36,86,-83265.67593
51,36,87,-80709.531
52,36,88,-79691.295
53,36,89,-76535.795
54,36,90,-74959.259
55,36,91,-70973.974
37,37,74,-51916.016
38,37,75,-57218.702
40,37,77,-64830.5
41,37,78,-66935.427
42,37,79,-70802.778
43,37,80,-72175.476
44,37,81,-75456.704
45,37,82,-76187.813
46,37,83,-79070.639
47,37,84,-79758.975
49,37,86,-82747.003
52,37,89,-81712.399
53,37,90,-79365.573
54,37,91,-77745.049
55,37,92,-74772.45
56,37,93,-72619.9
58,37,95,-65890.307
59,37,96,-61354.351
37,38,75,-46618.702
38,38,76,-54247.645
39,38,77,-57803.443
40,38,78,-63173.949
47,38,85,-81103.29
50,38,88,-87921.62876
51,38,89,-86209.026
52,38,90,-85950.945
53,38,91,-83651.95
54,38,92,-82867.371
55,38,93,-80085.844
40,39,79,-57802.935
42,39,81,-65712.919
43,39,82,-68064.097
44,39,83,-72205.672
45,39,84,-73894.439
46,39,85,-77842.131
47,39,86,-79283.1
48,39,87,-83018.387
49,39,88,-84299.029
51,39,90,-86496.912
52,39,91,-86351.321
53,39,92,-84816.494
54,39,93,-84227.155
55,39,94,-82351.473
56,39,95,-81207.937
57,39,96,-78329.986
59,39,98,-72288.748
41,40,81,-57524.418
42,40,82,-63614.063
45,40,85,-73175.196
46,40,86,-77969.023
47,40,87,-79347.147
48,40,88,-83628.874
49,40,89,-84877.974
50,40,90,-88772.547
53,40,93,-87122.028
56,40,96,-85438.86
59,40,99,-77616.67
43,41,84,-61193.842
44,41,85,-66279.684
46,41,87,-73874.493
47,41,88,-76171.555
48,41,89,-80625.755
49,41,90,-82661.531
52,41,93,-87212.84
53,41,94,-86369.063
54,41,95,-86786.272
56,41,97,-85602.797
57,41,98,-83524.612
58,41,99,-82335.344
60,41,101,-78891.488
63,41,104,-71810.997
44,42,86,-64110.927
45,42,87,-66884.817
46,42,88,-72686.553
48,42,90,-80172.514
49,42,91,-82208.834
50,42,92,-86808.587
51,42,93,-86807.079
52,42,94,-88414.079
54,42,96,-88794.889
55,42,97,-87544.7
57,42,99,-85970.106
59,42,101,-83519.952
60,42,102,-83560.866
63,42,105,-77330.788
44,43,87,-57690.052
45,43,88,-61670.301
46,43,89,-67394.857
47,43,90,-70724.696
52,43,95,-86021.355
53,43,96,-85821.648
55,43,98,-86432.214
58,43,101,-86344.593
60,43,103,-84603.92
61,43,104,-82498.969
63,43,106,-79776.253
45,44,89,-58369.424
46,44,90,-64883.801
48,44,92,-74301.211
49,44,93,-77216.723
50,44,94,-82583.602
51,44,95,-83457.759
53,44,97,-86120.564
57,44,101,-87958.113
60,44,104,-88095.763
61,44,105,-85934.543
63,44,107,-83862.565
66,44,110,-80072.629
67,44,111,-76785.325
47,45,92,-62999.095
48,45,93,-69011.81
49,45,94,-72907.623
50,45,95,-78340.616
51,45,96,-79687.732
53,45,98,-83175.219
54,45,99,-85584.522
56,45,101,-87412.428
57,45,102,-86783.316
58,45,103,-88031.705
59,45,104,-86959.344
60,45,105,-87851.27
62,45,107,-86863.711
63,45,108,-85031.156
64,45,109,-84999.251
65,45,110,-82828.693
66,45,111,-82303.871
67,45,112,-79731.052
68,45,113,-78766.944
69,45,114,-75710.275
46,46,92,-54779.095
47,46,93,-58981.81
48,46,94,-66102.281
49,46,95,-69965.913
50,46,96,-76183.42
52,46,98,-81320.985
53,46,99,-82182.861
55,46,101,-85432.145
56,46,102,-87902.963
57,46,103,-87456.98
58,46,104,-89395.123
59,46,105,-88417.905
60,46,106,-89907.543
61,46,107,-88372.654
62,46,108,-89524.215
63,46,109,-87606.484
64,46,110,-88330.904
65,46,111,-85985.886
66,46,112,-86321.039
67,46,113,-83590.5
68,46,114,-83490.346
69,46,115,-80425.822
49,47,96,-64511.645
50,47,97,-70904.027
51,47,98,-73066.425
53,47,100,-78137.969
54,47,101,-81334.384
57,47,104,-85116.47
59,47,106,-86942.399
60,47,107,-88406.7
61,47,108,-87606.792
62,47,109,-88719.431
63,47,110,-87457.306
64,47,111,-88215.447
65,47,112,-86583.729
66,47,113,-87026.825
67,47,114,-84930.811
68,47,115,-84982.587
69,47,116,-82542.664
49,48,97,-60734.027
50,48,98,-67636.425
51,48,99,-69931.132
52,48,100,-74194.595
53,48,101,-75836.466
56,48,104,-83968.391
57,48,105,-84333.849
60,48,108,-89252.423
62,48,110,-90347.969
63,48,111,-89252.247
65,48,113,-89043.286
66,48,114,-90014.934
67,48,115,-88084.48
68,48,116,-88712.489
70,48,118,-86701.649
71,48,119,-83976.939
72,48,120,-83957.365
73,48,121,-81073.837
75,48,123,-77414.183
51,49,100,-64178.146
52,49,101,-68544.901
53,49,102,-70694.896
54,49,103,-74632.397
56,49,105,-79640.582
57,49,106,-80608.15
59,49,108,-84119.828
60,49,109,-86489.526
62,49,111,-88392.05
63,49,112,-87990.127
64,49,113,-89367.123
65,49,114,-88569.807
66,49,115,-89536.357
67,49,116,-88249.758
68,49,117,-88943.035
70,49,119,-87698.658
75,49,124,-80867.778
76,49,125,-80412.308
50,50,100,-57148.146
51,50,101,-60305.624
52,50,102,-64934.896
54,50,104,-71627.057
55,50,105,-73338.001
56,50,106,-77353.698
57,50,107,-78512.239
60,50,110,-85841.993
62,50,112,-88655.049
63,50,113,-88328.129
64,50,114,-90559.735
65,50,115,-90033.846
68,50,118,-91652.843
70,50,120,-91097.741
71,50,121,-89196.626
72,50,122,-89939.953
74,50,124,-88231.475
75,50,125,-85893.657
77,50,127,-83469.578
78,50,128,-83361.43
54,51,105,-64015.491
55,51,106,-66473.301
56,51,107,-70653.248
60,51,111,-80836.747
61,51,112,-81598.973
63,51,114,-84496.616
66,51,117,-88639.564
67,51,118,-87996.204
68,51,119,-89475.539
70,51,121,-89599.157
71,51,122,-88334.205
72,51,123,-89222.89
73,51,124,-87619.069
74,51,125,-88255.094
76,51,127,-86698.294
77,51,128,-84629.852
78,51,129,-84629.384
79,51,130,-82285.687
52,52,104,-49626.831
53,52,105,-52811.509
54,52,106,-58219.759
56,52,108,-65781.676
57,52,109,-67715.399
58,52,110,-72229.821
61,52,113,-78347.037
63,52,115,-82062.767
64,52,116,-85263.793
65,52,117,-85095.5
66,52,118,-87690.758
69,52,121,-88543.111
70,52,122,-90313.282
71,52,123,-89170.978
72,52,124,-90524.142
73,52,125,-89021.794
74,52,126,-90064.168
75,52,127,-88280.497
76,52,128,-88993.794
77,52,129,-87004.884
78,52,130,-87352.96
79,52,131,-85211.022
80,52,132,-85188.197
56,53,109,-57672.505
57,53,110,-60467.844
58,53,111,-64953.795
60,53,113,-71119.517
62,53,115,-76337.805
64,53,117,-80438.568
65,53,118,-80971.056
66,53,119,-83777.731
67,53,120,-83747.16
69,53,122,-86079.282
71,53,124,-87364.555
72,53,125,-88836.024
73,53,126,-87910.496
74,53,127,-88983.217
75,53,128,-87738.03
76,53,129,-88507.176
77,53,130,-86936.188
78,53,131,-87442.727
79,53,132,-85703.502
81,53,134,-84043.44
82,53,135,-83779.18
54,54,108,-42632.357
56,54,110,-51922.636
59,54,113,-62203.626
60,54,114,-67085.899
62,54,116,-73046.877
63,54,117,-74185.347
64,54,118,-78079.067
65,54,119,-78794.488
67,54,121,-82480.997
68,54,122,-85354.988
69,54,123,-85248.258
72,54,126,-89146.38687
73,54,127,-88320.883
74,54,128,-89860.53427
75,54,129,-88696.06975
77,54,131,-88413.57492
78,54,132,-89278.97451
79,54,133,-87643.583
80,54,134,-88125.83443
81,54,135,-86413.365
82,54,136,-86429.17
62,55,117,-66493.101
63,55,118,-68409.377
64,55,119,-72305.061
66,55,121,-77102.342
67,55,122,-78144.769
68,55,123,-81043.657
69,55,124,-81741.06
70,55,125,-84089.742
71,55,126,-84350.683
72,55,127,-86240.027
74,55,129,-87499.05
76,55,131,-88055.574
77,55,132,-87152.693
80,55,135,-87581.956
82,55,137,-86545.772
83,55,138,-82887.028
84,55,139,-80701.088
85,55,140,-77049.738
86,55,141,-74477.351
58,56,114,-45905.437
61,56,117,-57457.906
63,56,119,-64590.096
64,56,120,-68888.649
65,56,121,-70744.847
66,56,122,-74608.952
67,56,123,-75654.963
68,56,124,-79089.786
69,56,125,-79668.976
70,56,126,-82669.913
71,56,127,-82817.955
73,56,129,-85060.866
74,56,130,-87256.776
75,56,131,-86678.958
77,56,133,-87553.512
78,56,134,-88950.002
79,56,135,-87850.655
80,56,136,-88887.079
81,56,137,-87721.401
83,56,139,-84913.918
85,56,141,-79732.492
87,56,143,-73937.205
70,57,127,-77896.116
72,57,129,-81323.541
75,57,132,-83723.578
76,57,133,-85494.392
77,57,134,-85218.659
78,57,135,-86643.458
79,57,136,-86037.488
80,57,137,-87140.865
81,57,138,-86513.408
82,57,139,-87222.381
83,57,140,-84312.059
84,57,141,-82929.844
85,57,142,-80023.95
86,57,143,-78171.467
87,57,144,-74849.66
68,58,126,-70820.565
70,58,128,-75533.925
71,58,129,-76287.504
72,58,130,-79422.913
73,58,131,-79708.448
74,58,132,-82468.688
75,58,133,-82418.223
76,58,134,-84832.898
79,58,137,-85918.765
80,58,138,-87565.867
81,58,139,-86957.741
84,58,142,-84532.896
85,58,143,-81606.378
87,58,145,-77067.059
69,59,128,-66330.764
73,59,132,-75227.464
74,59,133,-77937.591
76,59,135,-80935.872
77,59,136,-81340.421
80,59,139,-84828.652
81,59,140,-84686.227
82,59,141,-86014.533
85,59,144,-80750.588
87,59,146,-76673.486
88,59,147,-75444.093
89,59,148,-72535.452
92,59,151,-66779.681
70,60,130,-66596.239
71,60,131,-67768.04
73,60,133,-72332.38
74,60,134,-75646.443
76,60,136,-79199.297
77,60,137,-79583.969
78,60,138,-82017.182
79,60,139,-82016.93
81,60,141,-84191.52
82,60,142,-85950.055
83,60,143,-84002.31
84,60,144,-83748.028
86,60,146,-80925.916
87,60,147,-78146.794
88,60,148,-77408.066
90,60,150,-73679.951
91,60,151,-70943.183
92,60,152,-70149.663
93,60,153,-67330.38
72,61,133,-65407.653
75,61,136,-71169.923
78,61,139,-77501.028
79,61,140,-78212.046
82,61,143,-82960.664
84,61,145,-81267.506
85,61,146,-79454.36
86,61,147,-79041.984
87,61,148,-76865.877
88,61,149,-76064.404
91,61,152,-71254.468
93,61,154,-68266.602
94,61,155,-66940.006
73,62,135,-62857.222
74,62,136,-66810.899
76,62,138,-71497.772
77,62,139,-72380.229
78,62,140,-75455.945
80,62,142,-78981.93
82,62,144,-81965.626
83,62,145,-80651.407
84,62,146,-80996.36
85,62,147,-79266.048
86,62,148,-79336.067
87,62,149,-77135.898
88,62,150,-77051.336
89,62,151,-74576.48
90,62,152,-74762.977
92,62,154,-72455.564
94,62,156,-69360.735
95,62,157,-66677.654
96,62,158,-65251.849
75,63,138,-61749.676
76,63,139,-65398.051
77,63,140,-66985.945
78,63,141,-69925.647
79,63,142,-71308.93
80,63,143,-74241.311
81,63,144,-75619.175
82,63,145,-77991.524
83,63,146,-77117.603
84,63,147,-77544.611
85,63,148,-76297.482
87,63,150,-74792.369
88,63,151,-74653.098
89,63,152,-72888.5
90,63,153,-73367.466
91,63,154,-71738.367
92,63,155,-71818.337
93,63,156,-70082.844
94,63,157,-69459.134
96,63,159,-66043.386
76,64,140,-61782.278
77,64,141,-63224.231
78,64,142,-66959.522
80,64,144,-71759.511
82,64,146,-76085.823
83,64,147,-75356.928
87,64,151,-74188.92
88,64,152,-74707.304
89,64,153,-72882.944
91,64,155,-72070.298
93,64,157,-70823.896
96,64,160,-67942.06
97,64,161,-65506.142
75,65,140,-50482.278
77,65,142,-56559.522
78,65,143,-60419.192
80,65,145,-66399.693
81,65,146,-67763.644
82,65,147,-70742.674
85,65,150,-71105.789
86,65,151,-71623.541
87,65,152,-70717.304
90,65,155,-71250.439
91,65,156,-70091.01
92,65,157,-70763.848
93,65,158,-69470.883
94,65,159,-69532.582
95,65,160,-67836.474
96,65,161,-67461.778
77,66,143,-52168.949
78,66,144,-56570.091
79,66,145,-58242.607
80,66,146,-62554.928
81,66,147,-64196.047
82,66,148,-67859.397
83,66,149,-67693.99
84,66,150,-69309.618
85,66,151,-68752.388
86,66,152,-70117.963
87,66,153,-69143.197
88,66,154,-70394.015
90,66,156,-70529.386
91,66,157,-69424.669
92,66,158,-70407.152
93,66,159,-69167.22
94,66,160,-69672.425
95,66,161,-68055.494
96,66,162,-68181.169
97,66,163,-66380.858
77,67,144,-44609.521
78,67,145,-49120.113
79,67,146,-51238.227
80,67,147,-55757.101
81,67,148,-57991.166
83,67,150,-61945.892
84,67,151,-63622.746
87,67,154,-64639.378
89,67,156,-65538.403
92,67,159,-67329.62
93,67,160,-66382.425
95,67,162,-66040.563
96,67,163,-66378.027
97,67,164,-64980.517
98,67,165,-64898.017
78,68,146,-44322.019
79,68,147,-46607.814
82,68,150,-57831.323
83,68,151,-58266.29
85,68,153,-60466.682
87,68,155,-62209.172
88,68,156,-64211.683
90,68,158,-65303.815
91,68,159,-64561.12
92,68,160,-66064.176
93,68,161,-65201.298
95,68,163,-65167.413
97,68,165,-64521.353
98,68,166,-64924.145
78,69,147,-35974.407
79,69,148,-38765.034
82,69,151,-50771.613
83,69,152,-51720.279
84,69,153,-53972.61
85,69,154,-54427.142
86,69,155,-56625.921
87,69,156,-56834.417
88,69,157,-58709.279
93,69,162,-61477.482
95,69,164,-61908.943
96,69,165,-62930.024
97,69,166,-61886.478
101,69,170,-59795.314
82,70,152,-46270.386
84,70,154,-49932.093
87,70,157,-53419.912
90,70,160,-58163.227
91,70,161,-57834.248
92,70,162,-59821.163
93,70,163,-59293.878
94,70,164,-61012.171
95,70,165,-60295.388
97,70,167,-60589.9
98,70,168,-61579.867
99,70,169,-60375.527
100,70,170,-60763.929
102,70,172,-59255.456
82,71,153,-38375.462
85,71,156,-43699.55
86,71,157,-46439.818
89,71,160,-50269.942
90,71,161,-52562.349
91,71,162,-52831.759
92,71,163,-54791.415
93,71,164,-54642.376
95,71,166,-56020.987
96,71,167,-57526.281
99,71,170,-57306.234
104,71,175,-55165.678
105,71,176,-53382.333
84,72,156,-37819.514
87,72,159,-42852.606
90,72,162,-49168.426
92,72,164,-51818.356
93,72,165,-51635.513
94,72,166,-53858.989
96,72,168,-55360.557
99,72,171,-55431.351
102,72,174,-55844.583
103,72,175,-54481.763
104,72,176,-54576.428
105,72,177,-52880.745
106,72,178,-52435.366
108,72,180,-49779.476
87,73,160,-35823.7
89,73,162,-39781.405
90,73,163,-42534.634
92,73,165,-45847.872
95,73,168,-48393.913
96,73,169,-50290.435
97,73,170,-50137.67
100,73,173,-52396.543
101,73,174,-51740.771
102,73,175,-52408.653
103,73,176,-51365.379
104,73,177,-51714.745
106,73,179,-50357.456
107,73,180,-48933.631
86,74,160,-29329.073
88,74,162,-33999.217
90,74,164,-38235.555
91,74,165,-38861.316
92,74,166,-41887.471
94,74,168,-44892.93
95,74,169,-44917.866
96,74,170,-47290.804
99,74,173,-48727.388
100,74,174,-50227.093
104,74,178,-50407.066
106,74,180,-49636.243
107,74,181,-48233.945
109,74,183,-46365.663
110,74,184,-45705.453
86,75,161,-20842.82
88,75,163,-26002.253
90,75,165,-30659.353
91,75,166,-31837.335
93,75,168,-35794.889
94,75,169,-38409.247
97,75,172,-41566.839
101,75,176,-45062.89
102,75,177,-46269.175
103,75,178,-45653.457
104,75,179,-46584.312
105,75,180,-45837.364
107,75,182,-45446.144
109,75,184,-44219.819
110,75,185,-43819.047
111,75,186,-41927.32
88,76,164,-20424.723
90,76,166,-25431.526
91,76,167,-26498.86
94,76,170,-33925.692
98,76,174,-39995.383
99,76,175,-40105.36
103,76,179,-43020.137
105,76,181,-43549.968
106,76,182,-44609.109
107,76,183,-43663.76
108,76,184,-44252.565
110,76,186,-43000.032
113,76,189,-38986.802
90,77,167,-17072.448
91,77,168,-18666.23
94,77,171,-26412.03
95,77,172,-27379.373
96,77,173,-30268.456
97,77,174,-30785.937
98,77,175,-33394.511
102,77,179,-38081.719
103,77,180,-37977.53
104,77,181,-39463.035
105,77,182,-39051.682
106,77,183,-40202.138
107,77,184,-39610.855
108,77,185,-40335.558
109,77,186,-39172.35
110,77,187,-39549.377
114,77,191,-36708.826
90,78,168,-11010.078
92,78,170,-16299.202
93,78,171,-17466.569
94,78,172,-21106.67
95,78,173,-21936.758
96,78,174,-25317.608
97,78,175,-25708.684
100,78,178,-31997.486
101,78,179,-32268.127
102,78,180,-34429.875
103,78,181,-34381.497
104,78,182,-36168.42
105,78,183,-35773.197
106,78,184,-37332.486
107,78,185,-36688.144
108,78,186,-37864.447
109,78,187,-36685.361
111,78,189,-36469.405
112,78,190,-37306.504
113,78,191,-35698.336
115,78,193,-34479.677
116,78,194,-34760.101
117,78,195,-32793.878
92,79,171,-7562.303
96,79,175,-17403.686
97,79,176,-18520.967
98,79,177,-21545.736
99,79,178,-22303.029
100,79,179,-24988.572
104,79,183,-30191.488
105,79,184,-30318.714
106,79,185,-31858.15
107,79,186,-31714.856
108,79,187,-33028.78
109,79,188,-32371.315
113,79,192,-32772.184
114,79,193,-33404.829
115,79,194,-32211.95
116,79,195,-32567.061
94,80,174,-6641.017
96,80,176,-11784.639
98,80,178,-16315.346
99,80,179,-16932.924
100,80,180,-20250.513
