train_losses,val_losses,train_rmse_keV,val_rmse_keV,train_mae_keV,val_mae_keV
0.618443647568876,0.4984816900993648,596.3739946141199,514.5739802561425,392.26200584293446,326.30677304774514
0.4790769365023483,0.45330842702012314,513.8873063001322,480.750579552506,313.28230987665614,298.1917986147626
0.4522616456855427,0.4354584722926742,495.308570526786,489.654978738078,300.814990296877,290.93902597931356
0.43686482919888064,0.4058930575847626,498.6557913268342,460.88364957853275,290.5049787602563,274.98913355759066
0.4332127743823962,0.40856681371990006,490.10004898354225,463.4152958630398,285.6372274645688,277.52763026749074
0.4186258366839452,0.4198772817065841,474.2160819371103,454.68206938285823,276.87881463273266,283.0847593668085
0.40182153982194985,0.3871565825845066,467.8400846473633,438.9965972604203,272.89433073070865,264.6326585917666
0.405997883528471,0.38689036824201284,473.2005950343111,432.07260456965867,275.5022878955929,264.8240521913303
0.4002049673687328,0.38373205497076635,465.5410058206084,429.72216282742954,271.131726384912,263.4862593062507
0.38871984116055747,0.33418571321587814,448.91566551227936,385.7308205820023,265.5843208375854,233.73006462190855
0.3868918534029614,0.4085264915698453,441.8931026195113,461.947468488931,260.5962487022469,276.2994665534203
0.38050962442701514,0.3520175289166601,447.0782597883471,402.9422007532773,261.61753001014824,244.8748812781038
0.3661352436650883,0.3780191905404392,426.55733573865484,428.07623914734495,253.52124807310622,258.85324658291904
0.3601889061656865,0.34087649066197245,426.0029948983574,379.09018214278177,250.43555926231753,238.55830909085952
0.3545321070335128,0.37632451559367935,412.07083294181353,435.06054109743604,245.6759921429814,257.3294554878745
0.36834144524552603,0.3503772853628585,433.75511351270126,389.9389764069264,253.9705872321312,244.4293779721868
0.3695371371101249,0.3325878289577208,432.60370557475517,374.0484432329212,253.89855514850183,232.8429985525836
0.3482549874620004,0.33195246050232335,408.03394131864445,372.98064537025743,241.5484168146254,232.55907685021145
0.35994902083819563,0.34897194606693166,425.1485947095574,401.0237477134515,249.53114485354493,243.2922718101774
0.3578686009753834,0.35502270236611366,409.2561396897549,413.48129869319234,247.59584846248117,244.5586530644308
0.3661619204689156,0.34822891299661834,424.1017008846101,375.8324211222701,251.5354792859011,242.00028929137537
0.3431862453845414,0.33736956550886754,403.90905963500103,386.7825054891025,240.8039589793528,235.78826130168085
0.3256051858717745,0.3455564924760869,389.69499877765537,378.98154795791595,229.9629864097604,240.13843135753635
0.31085465069521556,0.3244492795906569,374.03001010118066,385.87874224788555,222.4226162274504,227.4392365379631
0.3364666531031782,0.5111784684030634,391.98422836641043,516.3245140668245,234.35044996277063,333.97901662688884
0.3340404932810502,0.3322634336195494,395.7781269234536,380.55025391062935,235.79858817870138,233.71768970934303
0.32467672059481795,0.32173953068099526,398.4441551063754,374.18426639547647,229.7300277788412,226.14104870803453
0.3198135888034647,0.32768954630745084,377.9155672211273,381.1918431911613,227.73295265394074,229.52614681818423
0.3295006010342728,0.30683278449271856,395.1151483974312,356.37405227457833,231.12901868834757,217.5355483636041
0.3212743570858782,0.35687817593938426,380.2019485314615,416.83155625593895,226.02878101980522,247.01057056127812
0.3291260894726623,0.3104135390175016,392.3356779072525,349.8036012526356,232.55252218957423,219.49970078467734
0.3054245649413629,0.3213987287722136,368.48644838214193,365.8198340983304,220.61641978742384,226.56457033496122
