region,count,rmse_keV,mae_keV,bias_keV,max_abs_keV,model,seed
very light,3,1300.192174856948,1048.4090576171875,-814.1688232421875,2119.8438720703125,AnchoredFullModel_noanchor,42
light,97,726.6591368878835,549.4160596709891,69.19733484012565,2640.9140625,AnchoredFullModel_noanchor,42
medium,489,240.76922809656338,177.31972736132414,-17.371849637333845,1012.98828125,AnchoredFullModel_noanchor,42
heavy,120,251.64142507767932,196.28036499023438,-47.359307861328126,784.9248046875,AnchoredFullModel_noanchor,42
heavy exotic,5,535.1275992558706,408.809375,24.203125,961.515625,AnchoredFullModel_noanchor,42
