region,n_seeds,rmse_keV_mean,rmse_keV_std,mae_keV_mean,mae_keV_std
light,5,668.2018961910077,182.2427319403507,540.7330965909091,121.61165298220642
medium,5,503.6213205581729,87.21974891138225,377.149375,72.47221026732186
heavy,5,407.7175533245954,106.33723346879566,348.21102764423074,85.47627814509568
heavy exotic,5,615.9299928604172,254.24560758332615,519.2966517857143,182.70066814860135
