region,count,rmse_keV,mae_keV,bias_keV,max_abs_keV,model,seed
very light,3,1133.974835679065,1117.2605794270833,-517.43017578125,1370.783447265625,AnchoredFullModel_noanchor,89
light,93,877.4490068695926,660.5015068464381,165.92080393145162,3205.38671875,AnchoredFullModel_noanchor,89
medium,486,253.96290478239206,185.00594326694315,18.27847151893647,1220.375,AnchoredFullModel_noanchor,89
heavy,126,273.2338894583169,211.90322972857763,-38.58978029281374,824.1640625,AnchoredFullModel_noanchor,89
heavy exotic,6,458.0253529090619,390.0768229166667,-4.662760416666667,828.5546875,AnchoredFullModel_noanchor,89
