region,count,rmse_keV,mae_keV,bias_keV,max_abs_keV,model,seed
very light,4,603.7351297920248,573.9255981445312,-222.38214111328125,787.6123046875,AnchoredFullModel_noanchor,12
light,94,926.6254319048393,636.3739195478723,96.64370532746011,3892.6083984375,AnchoredFullModel_noanchor,12
medium,486,242.2995009400816,172.85491792655284,72.05004556286973,1753.7265625,AnchoredFullModel_noanchor,12
heavy,123,245.93664198530286,189.7107211477388,59.71613987868394,786.701171875,AnchoredFullModel_noanchor,12
heavy exotic,7,301.1443490177302,267.39732142857144,-34.200892857142854,431.5,AnchoredFullModel_noanchor,12
