feature,attention_score
deltaN,0.12032722
(N-Z)/A,0.111262195
Nshell_category,0.09117367
Zshell_category,0.080625884
(N-Z)^2/A,0.06656097
deltaZ,0.064465776
A^2/3,0.0640551
N/Z,0.06309042
promiscuity,0.05812056
neighbor_N_plus_1_exists,0.040313147
Z,0.037714034
Z(Z-1)/A^1/3,0.031069737
N,0.030425938
neighbor_N_minus_1_exists,0.025433829
neighbor_Z_minus_1_exists,0.025282359
ZEO,0.025215654
NEO,0.024104629
neighbor_Z_plus_1_exists,0.021767678
A,0.018990349
