region,count,rmse_keV,mae_keV,bias_keV,max_abs_keV,model,seed
very light,4,359.5306083133223,357.75311279296875,151.56341552734375,412.37939453125,AnchoredFullModel_noanchor,17
light,95,844.3452253139111,642.1748111122533,-25.212783974095395,2340.7607421875,AnchoredFullModel_noanchor,17
medium,490,225.84010932722242,169.18449557557398,40.4162109375,1180.2265625,AnchoredFullModel_noanchor,17
heavy,119,239.06171567107717,180.5624415293461,-25.557878766741073,807.7626953125,AnchoredFullModel_noanchor,17
heavy exotic,6,243.1701543329965,164.53645833333334,-79.91927083333333,551.1328125,AnchoredFullModel_noanchor,17
