region,count,rmse_keV,mae_keV,bias_keV,max_abs_keV,model,seed
very light,6,721.2506673560066,554.6083170572916,-511.39306640625,1284.28955078125,AnchoredFullModel_noanchor,33
light,92,942.4147436626802,667.856433370839,-39.66748444930367,3513.443359375,AnchoredFullModel_noanchor,33
medium,489,185.95619883802985,142.13014867115606,-20.430632359167305,976.75390625,AnchoredFullModel_noanchor,33
heavy,120,243.0803004120145,179.1992401123047,6.318651326497396,1056.8515625,AnchoredFullModel_noanchor,33
heavy exotic,7,698.081969711469,469.42410714285717,468.75669642857144,1513.6796875,AnchoredFullModel_noanchor,33
