feature,attention_score
N/Z,0.13833673
deltaN,0.13040936
Nshell_category,0.087063715
promiscuity,0.08377328
deltaZ,0.0834904
(N-Z)/A,0.06935901
neighbor_N_minus_1_exists,0.047136877
Z(Z-1)/A^1/3,0.046297427
ZEO,0.04148048
N,0.036883652
neighbor_Z_plus_1_exists,0.0366036
(N-Z)^2/A,0.034714706
Zshell_category,0.03425636
neighbor_N_plus_1_exists,0.030085338
NEO,0.02549872
A^2/3,0.024434557
neighbor_Z_minus_1_exists,0.020514626
Z,0.016651696
A,0.013008841
