feature,attention_score
promiscuity,0.10210317
deltaN,0.08134025
deltaZ,0.07792248
(N-Z)^2/A,0.075142264
N/Z,0.072992064
(N-Z)/A,0.068050236
Nshell_category,0.06177249
Zshell_category,0.060350746
NEO,0.04855055
Z,0.044554707
Z(Z-1)/A^1/3,0.044321854
neighbor_N_minus_1_exists,0.043092083
neighbor_Z_plus_1_exists,0.04133283
neighbor_Z_minus_1_exists,0.036782976
neighbor_N_plus_1_exists,0.032146703
ZEO,0.031505026
A,0.027124768
A^2/3,0.026833039
N,0.024080897
