feature,attention_score
deltaN,0.11531712
Zshell_category,0.10152569
N/Z,0.086084105
promiscuity,0.07284385
deltaZ,0.07242991
Nshell_category,0.06924075
(N-Z)^2/A,0.067961
NEO,0.06671124
neighbor_N_minus_1_exists,0.05115162
(N-Z)/A,0.04884125
neighbor_N_plus_1_exists,0.04881998
ZEO,0.035332154
Z(Z-1)/A^1/3,0.030962724
neighbor_Z_minus_1_exists,0.026615556
Z,0.024953201
N,0.023547405
A,0.021924865
neighbor_Z_plus_1_exists,0.020517135
A^2/3,0.015219734
