train_losses,val_losses,train_rmse_keV,val_rmse_keV,train_mae_keV,val_mae_keV
0.6187737403913985,0.5015911891272193,496.12249917997894,411.2624898538795,338.9038109295338,271.9576380455841
0.5315730682639188,0.45230717015893834,447.34858077686835,388.70279941399093,292.4537239133711,256.65117456212494
0.4473893687475559,0.43343298529323776,402.9704291046778,375.15540598608135,255.43564926034588,245.7125602756596
0.4326648029477097,0.3675804444049534,390.8722316883881,346.50071795624035,240.97568374141932,222.73192890565582
0.4121865765299908,0.5393564544225994,381.9668946375305,420.4025371900515,238.92386437232128,303.2282190210491
0.4003941700902096,0.3925272583177215,371.4644254876511,359.8165501384892,229.94283698458327,232.68873313472486
0.37494476299819557,0.33909227699041367,365.2625126111734,331.58128751511725,223.78538489651524,205.29836387642408
0.36115935427504914,0.3081792287136379,360.3651929511739,313.8759781774222,215.84538191183717,190.6833277624162
0.3424341780848281,0.3194379402618659,345.86545824825066,315.0550645438011,206.4627077550151,198.37082080300698
0.36066349231919576,0.4557331722033651,348.3929213658518,432.2871277486162,214.56321415560558,266.82797632255006
0.37353690011903296,0.3207879162540561,360.068272742418,321.87521142807515,221.9597895656173,201.88739348477844
0.3477021659356217,0.32711150693266017,352.11158421011214,328.33276011155056,210.39188748519564,200.55750135524764
0.349042059723721,0.44619070875801536,335.5484370595177,408.298741367733,206.0410613413129,262.73617841445
0.36569306739540985,0.37253532597893163,365.1509595457377,352.35423205596226,217.44426539594824,220.27920376306537
0.3332613448417464,0.3554602304571553,333.4366351331826,355.5377959416608,202.91652302168467,212.292182423821
0.3418350181607313,0.3503149391004914,334.73339098367404,359.3453358322399,199.54210017137498,216.12242337166668
0.36375262363012445,0.32381973021026506,360.2483481163787,338.99667874511505,213.55254836253158,202.4980923984795
0.3374248015326123,0.33932378337914615,334.77693547532505,333.80451545800815,204.1564270139549,212.21187045003535
0.33848710254181263,0.2942139355367736,337.73032087601473,305.9740542644664,204.05888775574383,187.93689885305616
0.3379339551509813,0.34827685375746925,331.9780197226877,348.53899014719826,201.331831818227,215.5644459343832
0.33837165932582564,0.301028615549991,343.8635675443869,311.46733676192787,205.23686432310436,190.42978297218158
0.3304294351228448,0.29693368469413955,325.18252224903796,316.76122432627636,199.3012944053716,189.74589982876387
0.32029824132143064,0.30296140392065835,328.8948975637185,318.37339093449145,194.26997753607208,192.79266743068098
0.32388545503449995,0.31185792837488024,319.0465705490498,321.3059505477037,196.913879494323,197.82497698785264
0.3161343384620755,0.3878199150295634,315.5767727951969,383.01506620612855,191.97533300779082,234.5714682334169
0.3187494281419488,0.3126385133272331,315.6356539815404,314.9168298506104,194.65633902718304,198.24670850401685
0.29857783123504283,0.3195618665532062,309.30442742172585,313.6326063912917,182.6265842504402,198.5520020025657
0.3049303934324619,0.32356273382902145,319.85756750644714,331.2843905772016,188.34457290037653,202.53975151362704
0.3168257644703222,0.32258417104419906,314.6892436566348,312.25839408020397,186.39850170192543,202.11614525550917
0.30077942547410036,0.3630860241399588,308.66636382374116,371.8924560714275,185.86455057985125,222.1844938564296
0.29450231270734656,0.3320690086601596,305.7793121288941,335.8971706115349,182.8352312054273,207.30159777755736
0.2869915307261223,0.3140864052662724,296.2371543349672,326.22405176219627,177.4633462236862,197.386351689359
0.2811123808456022,0.2933941645253646,295.8177861967759,313.70516823931814,175.9170316806651,187.72323132762338
0.2828050616175629,0.28810098884921326,273.2134151318194,310.0578832298368,169.07833117356577,184.47889815284088
0.2819208894358125,0.28351068616814845,291.0196777188749,320.8989342123928,173.9380555623521,182.69503725509355
0.26763223943322206,0.28456434783966916,279.49613555202114,301.8614152831361,169.33618370118907,182.6835868548179
0.251146188135757,0.2815240799988571,264.23179306202826,295.1108295729236,161.43343703896437,182.02296471065324
0.2546976210852695,0.3245266123037589,275.7594936383618,333.07586579559177,164.13136935461793,202.32478914228054
0.26051866834939913,0.30576295430134787,278.8724757272246,329.5777685840079,165.74942255111236,193.6560592165928
0.2964875949330108,0.2815592837593469,276.0289640607237,300.748679643019,163.44588169162282,181.88433742731456
0.25206917541664703,0.2730449920422153,268.69131036424517,295.0964386001535,162.0116978773915,177.0259625080371
0.2573075916531474,0.2798596330379185,278.6229320848101,299.7581062133457,165.37607156736846,180.98113757559042
0.27142293162124104,0.2902218448978506,277.1370081630041,300.50010011905005,164.21429576903674,186.44887965889083
0.2512464172011891,0.2975054495036602,274.6623155156616,321.4937789228865,162.1235363939598,189.4484710387953
