N,Z,A,Mass Excess (keV)
39,34,73,-68227.396
40,34,74,-72213.21
42,34,76,-75251.959
43,34,77,-74599.497
44,34,78,-77025.952
45,34,79,-75917.466
46,34,80,-77759.487
47,34,81,-76389.019
48,34,82,-77593.895
49,34,83,-75340.543
50,34,84,-75947.731
52,34,86,-70503.175
34,35,69,-46259.478
35,35,70,-51425.627
37,35,72,-59061.75
38,35,73,-63645.787
39,35,74,-65288.161
40,35,75,-69107.02
41,35,76,-70289.078
43,35,78,-73452.168
44,35,79,-76068.067
45,35,80,-75889.025
47,35,82,-77498.677
50,35,85,-78575.478
51,35,86,-75632.261
53,35,88,-70715.967
35,36,71,-46327.211
36,36,72,-53940.582
38,36,74,-62331.844
39,36,75,-64323.632
41,36,77,-70169.451
42,36,78,-74178.283
43,36,79,-74442.29
44,36,80,-77893.455
47,36,83,-79990.643
48,36,84,-82439.34527
50,36,86,-83265.67593
52,36,88,-79691.295
53,36,89,-76535.795
54,36,90,-74959.259
37,37,74,-51916.016
38,37,75,-57218.702
40,37,77,-64830.5
41,37,78,-66935.427
43,37,80,-72175.476
44,37,81,-75456.704
46,37,83,-79070.639
48,37,85,-82167.34065
49,37,86,-82747.003
50,37,87,-84597.802
51,37,88,-82609.004
52,37,89,-81712.399
53,37,90,-79365.573
54,37,91,-77745.049
55,37,92,-74772.45
56,37,93,-72619.9
57,37,94,-68562.791
58,37,95,-65890.307
59,37,96,-61354.351
37,38,75,-46618.702
40,38,78,-63173.949
42,38,80,-70311.467
44,38,82,-76010.062
46,38,84,-80649.58
47,38,85,-81103.29
49,38,87,-84880.07643
50,38,88,-87921.62876
51,38,89,-86209.026
52,38,90,-85950.945
54,38,92,-82867.371
56,38,94,-78845.721
57,38,95,-75117.284
40,39,79,-57802.935
42,39,81,-65712.919
44,39,83,-72205.672
45,39,84,-73894.439
47,39,86,-79283.1
49,39,88,-84299.029
50,39,89,-87711.202
53,39,92,-84816.494
55,39,94,-82351.473
56,39,95,-81207.937
58,39,97,-76115.455
41,40,81,-57524.418
42,40,82,-63614.063
44,40,84,-71421.692
45,40,85,-73175.196
46,40,86,-77969.023
47,40,87,-79347.147
48,40,88,-83628.874
50,40,90,-88772.547
51,40,91,-87895.592
52,40,92,-88459.024
53,40,93,-87122.028
54,40,94,-87269.332
55,40,95,-85659.94
57,40,97,-82936.693
60,40,100,-76372.736
42,41,83,-57612.91
43,41,84,-61193.842
44,41,85,-66279.684
45,41,86,-69134.061
47,41,88,-76171.555
48,41,89,-80625.755
49,41,90,-82661.531
50,41,91,-86638.028
53,41,94,-86369.063
54,41,95,-86786.272
55,41,96,-85602.83
56,41,97,-85602.797
57,41,98,-83524.612
58,41,99,-82335.344
59,41,100,-79791.246
60,41,101,-78891.488
61,41,102,-76298.265
63,41,104,-71810.997
43,42,85,-57509.76
44,42,86,-64110.927
46,42,88,-72686.553
47,42,89,-75014.944
48,42,90,-80172.514
49,42,91,-82208.834
51,42,93,-86807.079
52,42,94,-88414.079
54,42,96,-88794.889
55,42,97,-87544.7
