N,Z,A,Mass Excess (keV),A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,(N-Z)/A,N/Z,ZEO,NEO,Zshell_category,Nshell_category,deltaZ,deltaN,proton_particles,proton_holes,neutron_particles,neutron_holes,nu_Z,nu_N,promiscuity,neighbor_N_plus_1_exists,neighbor_N_minus_1_exists,neighbor_Z_plus_1_exists,neighbor_Z_minus_1_exists
11,12,23,-5473.675,8.087579399090064,46.41567307303863,0.043478260869565216,-0.043478260869565216,0.9166666666666666,0,1,2,2,4.0,3.0,4.0,8.0,3.0,9.0,4.0,3.0,1.7142857142857142,1,1,1,1
10,13,23,6748.071,8.087579399090064,54.85488635904566,0.391304347826087,-0.13043478260869565,0.7692307692307693,1,0,2,2,5.0,2.0,5.0,7.0,2.0,10.0,5.0,2.0,1.4285714285714286,1,0,1,1
16,8,24,18500.404,8.320335292207616,19.414115681817773,2.6666666666666665,0.3333333333333333,2.0,0,0,2,2,0.0,4.0,0.0,0.0,8.0,4.0,0.0,4.0,0.0,1,1,1,0
15,9,24,7544.516,8.320335292207616,24.96100587662285,1.5,0.25,1.6666666666666667,1,1,2,2,1.0,5.0,1.0,11.0,7.0,5.0,1.0,5.0,0.8333333333333334,1,1,1,1
14,10,24,-5951.642,8.320335292207616,31.201257345778565,0.6666666666666666,0.16666666666666666,1.4,0,0,2,2,2.0,6.0,2.0,10.0,6.0,6.0,2.0,6.0,1.5,1,1,1,1
13,11,24,-8417.901,8.320335292207616,38.13487008928491,0.16666666666666666,0.08333333333333333,1.1818181818181819,1,1,2,2,3.0,5.0,3.0,9.0,5.0,7.0,3.0,5.0,1.875,1,1,1,1
12,12,24,-13933.578,8.320335292207616,45.76184410714189,0.0,0.0,1.0,0,0,2,2,4.0,4.0,4.0,8.0,4.0,8.0,4.0,4.0,2.0,1,1,1,1
11,13,24,-48.812,8.320335292207616,54.08217939934951,0.16666666666666666,-0.08333333333333333,0.8461538461538461,1,1,2,2,5.0,3.0,5.0,7.0,3.0,9.0,5.0,3.0,1.875,1,1,1,1
10,14,24,10745.186,8.320335292207616,63.09587596590776,0.6666666666666666,-0.16666666666666666,0.7142857142857143,0,0,2,2,6.0,2.0,6.0,6.0,2.0,10.0,6.0,2.0,1.5,1,0,0,1
17,8,25,27329.03,8.549879733383484,19.151730602779008,3.24,0.36,2.125,0,1,2,2,0.0,3.0,0.0,0.0,9.0,3.0,0.0,3.0,0.0,1,1,1,0
16,9,25,11334.167,8.549879733383484,24.623653632144435,1.96,0.28,1.7777777777777777,1,0,2,2,1.0,4.0,1.0,11.0,8.0,4.0,1.0,4.0,0.8,1,1,1,1
15,10,25,-2035.503,8.549879733383484,30.779567040180545,1.0,0.2,1.5,0,1,2,2,2.0,5.0,2.0,10.0,7.0,5.0,2.0,5.0,1.4285714285714286,1,1,1,1
14,11,25,-9357.814,8.549879733383484,37.61947082688734,0.36,0.12,1.2727272727272727,1,0,2,2,3.0,6.0,3.0,9.0,6.0,6.0,3.0,6.0,2.0,1,1,1,1
13,12,25,-13192.782,8.549879733383484,45.1433649922648,0.04,0.04,1.0833333333333333,0,1,2,2,4.0,5.0,4.0,8.0,5.0,7.0,4.0,5.0,2.2222222222222223,1,1,1,1
12,13,25,-8915.974,8.549879733383484,53.35124953631295,0.04,-0.04,0.9230769230769231,1,0,2,2,5.0,4.0,5.0,7.0,4.0,8.0,5.0,4.0,2.2222222222222223,1,1,1,1
11,14,25,3827.322,8.549879733383484,62.24312445903177,0.36,-0.12,0.7857142857142857,0,1,2,2,6.0,3.0,6.0,6.0,3.0,9.0,6.0,3.0,2.0,1,1,0,1
18,8,26,34661.041,8.776382955329126,18.902978673016584,3.8461538461538463,0.38461538461538464,2.25,0,0,2,2,0.0,2.0,0.0,0.0,10.0,2.0,0.0,2.0,0.0,0,1,1,0
17,9,26,18674.655,8.776382955329126,24.303829722449894,2.4615384615384617,0.3076923076923077,1.8888888888888888,1,1,2,2,1.0,3.0,1.0,11.0,9.0,3.0,1.0,3.0,0.75,1,1,1,1
16,10,26,481.114,8.776382955329126,30.379787153062367,1.3846153846153846,0.23076923076923078,1.6,0,0,2,2,2.0,4.0,2.0,10.0,8.0,4.0,2.0,4.0,1.3333333333333333,1,1,1,1
15,11,26,-6860.78,8.776382955329126,37.130850964854005,0.6153846153846154,0.15384615384615385,1.3636363636363635,1,1,2,2,3.0,5.0,3.0,9.0,7.0,5.0,3.0,5.0,1.875,1,1,1,1
14,12,26,-16214.544,8.776382955329126,44.557021157824806,0.15384615384615385,0.07692307692307693,1.1666666666666667,0,0,2,2,4.0,6.0,4.0,8.0,6.0,6.0,4.0,6.0,2.4,1,1,1,1
13,13,26,-12210.139,8.776382955329126,52.65829773197477,0.0,0.0,1.0,1,1,2,2,5.0,5.0,5.0,7.0,5.0,7.0,5.0,5.0,2.5,1,1,1,1
12,14,26,-7141.003,8.776382955329126,61.4346806873039,0.15384615384615385,-0.07692307692307693,0.8571428571428571,0,0,2,2,6.0,4.0,6.0,6.0,4.0,8.0,6.0,4.0,2.4,1,1,1,1
18,9,27,25133.478,8.999999999999998,24.0,3.0,0.3333333333333333,2.0,1,0,2,2,1.0,2.0,1.0,11.0,10.0,2.0,1.0,2.0,0.6666666666666666,1,1,1,1
